"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"F104,F103,F101,F102";"Fiducial_0.75mm_Dia_1.5mm_Outer";4;"Fiducial";;;
2;"J602";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm";1;"DB9_Male";;;
3;"J601";"USB_Micro-B_Molex_47346-0001";1;"USB_B_Micro";;;
4;"U602";"SOIC-16_3.9x9.9mm_P1.27mm";1;"MAX3232";;;
5;"R508,R409,R410,R411,R412,R413,R414,R415,R416,R501,R502,R503,R504,R505,R506,R507,R509,R510,R511,R512";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";20;"1K";;;
6;"Q507,Q508,Q502,Q501,Q503,Q504,Q505,Q506,Q401,Q402,Q403,Q404,Q405,Q406,Q407,Q408";"SOT-23";16;"FDV301N";;;
7;"J505,J504";"PinHeader_1x04_P1.27mm_Vertical";2;"Conn_01x04";;;
8;"J501,J502";"PinHeader_2x20_P1.00mm_Vertical";2;"Conn_01x40_Male";;;
9;"J503";"PinHeader_1x06_P1.27mm_Vertical";1;"Conn_01x06_Male";;;
10;"U601";"SSOP-28_5.3x10.2mm_P0.65mm";1;"FT232RL";;;
11;"C608,C309,C310,C311,C313,C601,C602,C604,C606,C607,C609,C610";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";12;"0.1uF";;;
12;"D602,D201,D401,D402,D403,D404,D405,D406,D407,D408,D601";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";11;"LED";;;
13;"SW201";"SW_SPST_EVQPE1";1;"SW_DIP_x01";;;
14;"C201,C202,C203,C204";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"10uF";;;
15;"C301,C302,C303,C304,C305,C306,C307,C308,C312,C603";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";10;"1uF";;;
16;"C605";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"2.2uF";;;
17;"D501,D502,D503,D504,D505,D506,D507,D508";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";8;"D_Schottky";;;
18;"J201";"BarrelJack_CUI_PJ-102AH_Horizontal";1;"Barrel_Jack";;;
19;"J301,J302,J303,J304,J305,J306,J307,J308";"PinHeader_1x02_P1.27mm_Vertical";8;"Conn_01x02_Female";;;
20;"L201,L202,L203,L204,L205";"L_1206_3216Metric_Pad1.42x1.75mm_HandSolder";5;"Ferrite_Bead";;;
21;"MH101,MH102,MH103,MH104";"MountingHole_2.5mm";4;"MountingHole";;;
22;"R201";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"220";;;
23;"R301,R302,R303,R304,R305,R306,R307,R308";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";8;"10";;;
24;"R309,R310";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"750";;;
25;"R311";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"0";;;
26;"R401,R402,R403,R404,R405,R406,R407,R408";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";8;"470";;;
27;"R601,R602";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1K5";;;
28;"SW401,SW402,SW403,SW404,SW405,SW406,SW407,SW408";"SW_SPST_B3U-1000P";8;"SW_Push";;;
29;"U201";"SOT-223-3_TabPin2";1;"NCP1117-5.0_SOT223";;;
30;"U202";"TO-263-3_TabPin2";1;"LM1084-3.3";;;
31;"U301,U302";"SOIC-14_3.9x8.7mm_P1.27mm";2;"LM324";;;
32;"U303";"TSSOP-16_4.4x5mm_P0.65mm";1;"ADS7828";;;
33;"U304";"SOT-23";1;"MCP1525-TT";;;
